Bar,Verð,Bjór mL,Winr Rate,Lose Rate,Even Rate,Win Something Rate,Lose All Rate,Stærsta Win (Kr),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Irishman Pub,2500,500,67%,33%,0%,67%,33%,"6,800",6 Bjórar,3 Bjórar,4 Skot,2 Skot,Snúa Aftur,Snúa Aftur,Tap,Tap,,,,,,,,
Reykjavík Sportbar,3000,400,31%,46%,23%,77%,23%,"4,250",5 Bjórar,3 Bjórar,2 Bjórar,2 Bjórar,1 Bjór,Bjór & Skot,5 Skot,2 Skot,Snúa Aftur,Snúa Aftur,Snúa Aftur,Klst í Pílu,Klst í Pool,Tap,Tap,Tap
Reykjavík Sportbar Flöskuhjól,3000,330,33%,47%,20%,80%,20%,"5,700",6 Bjórar,4 Bjórar,3 Bjórar,2 Bjórar,4 Bjórar & 4 Skot,3 Bjórar & 3 Skot,Bjór & Skot,Bjór & Skot,Snúa Aftur,30min í Pílu,30min í Pool,30min í Pool,30min í Foosball,Tap,Tap,Tap
Lebowski Bar,2500,500,54%,46%,0%,62%,38%,"8,060",6.6 Bjórar,6 Bjórar,4 Bjórar,2 Bjórar,3 Bjórar,1 Bjór,2 Kokteilar,4 Skot,Snúa Aftur,Snúa Aftur,Snúa Aftur,Tap,Tap,Tap,Tap,Tap
Íslenski Barinn,3000,500,50%,33%,17%,100%,0%,"5,000",5 Bjórar,4 Bjórar,3 Bjórar,2 Bjórar,1 Bjór,1 Bjórar,5 Skot,4 Skot,3 Skot,2 Skot,1 Skot,1 Skot,,,,
Den Danske Kro,3000,500,57%,29%,14%,71%,29%,"5,000",5 Bjórar,2 Bjórar,2 Bjórar & Skot,4 Skot,3 Skot ,Snúa Aftur,Tap,Tap,,,,,,,,
The English Pub,3000,500,31%,54%,15%,62%,38%,"9,800",8 bjórar,6.6 Bjórar,4 Bjórar,3 Bjórar,2 Bjórar,1 Bjór,1 Bjór,2 Skot,Snúa Aftur,Snúa Aftur,Snúa Aftur,Tap,Tap,Tap,Tap,Tap
American Bar,3000,500,21%,43%,36%,71%,29%,"6,600",6 Bjórar,4 Bjórar,4 Bjórar,2 Bjórar,2 Bjórar,2 Bjórar,1 Bjór,1 Bjór,2 Skot,2 Skot,Snúa Aftur,Snúa Aftur,Tap,Tap,Tap,Tap
The Drunk Rabbit,2800,500,39%,46%,15%,54%,46%,"6,800",6 Bjórar,6 Bjórar,6 Bjórar,6 Bjórar,2 Kokteilar,2 Skot,2 Skot,Snúa Aftur,Snúa Aftur,Snúa Aftur,Tap,Tap,Tap,Tap,Tap,Tap
The Dubliner,2500,500,45%,55%,0%,100%,0%,"7,100",6 Bjórar,4 Bjórar,2 Kokteilar,4 Skot,3 Skot,1 Skot,1 Skot,1 Skot,1 Skot,1 Skot,1 Skot,Snúa Aftur,Snúa Aftur,Snúa Aftur,Snúa Aftur,Snúa Aftur
The Dubliner Uppi,2500,500,50%,50%,0%,100%,0%,"10,300",8 Bjórar,6 Bjórar,4 Bjórar,5 Skot,4 Skot,1 Skot,1 Skot,1 Skot,1 Skot,1 Skot,,,,,,
The Dubliner Kjallari,2500,500,80%,20%,0%,100%,0%,"13,500",10 Bjórar,6 Bjórar,2 Kokteilar,1 Kokteill,8 Skot,6 Skot,4 Skot,4 Skot,3 Skot,2 Skot,,,,,,
Exit,3000,500,39%,46%,15%,77%,23%,"6,600",6 Bjórar,5 Bjórar,3 Bjórar,3 Bjórar,2 Bjórar,1 Bjór,3 Skot,2 Skot,1 Skot,0.5 Skot,Snúa Aftur,Tap,Tap,Tap,,