Bjór,Verð (Kr),Stærð (ml)
Egils Gull,469,500
Gull Lite,439,500
Tuborg Grön,369,500
Tuborg Classic,459,500
Víking Gylltur,499,500
Víking Lite,439,500
Víking Lite Classic,389,330
Thule,469,500
Carlsberg,449,500
Boli Premium,499,500
Peroni Nastro Azzurro,399,330
Stella Artois,449,440
Einstök White Ale,409,330
Einstök Arctic Pale Ale,409,330
Kaldi,382,330
Ölvisholt Lite,389,330
Eldgos Flamingo Kokteill,499,330
Somersby Apple,339,330
Kronenbourg 1664 Blanc,469,330
Bríó nr. 1 Pilsner,499,500
Garún nr. 19 Icelandic Stout,999,330
Helga nr. 69 Raspberry Sour,494,330
Snorri nr. 10 íslenskt öl,494,330
Úlfrún nr. 34,494,330
Úlfur nr. 3 India Pale Ale,535,330
Guinness Draught,489,440
Bóndi Session IPA,489,330