Bar,Latitude,Longitude,Stærð (mL),Gull,Gull Lite,Tuborg Grön,Tuborg Classic,Víking Gylltur,Víking Lite,Víking Lite Classic,Thule,Carlsberg,Boli,Peroni,Stella Artois,Einstök White Ale,Einstök Pale Ale,Einstök Arctic Lager,Kaldi,Ölvisholt Lite,Eldgos,Somersby,Blanc,Bríó,Garún,Helga,Snorri,Úlfrún,Úlfur,Guinness,Bóndi,Heimabrugg/Annar IPA
Kokteilbarinn,64.14594910158290,-21.92923512896540,400,,1790,,1790,,,,,1790,,,,,,,,,,,1890,,,,,1990,,,,
The Irishman Pub,64.14612131997700,-21.92880068234760,500,1550,1550,,1550,,,,,1550,,,,,,,,,,1550,1550,1550,,,1650,,1650,1550,,
Reykjavík Sportbar,64.14611698962730,-21.92810120015750,400,,,,,1450,1450,,,,,,,1590,,,,,,,,,,,,,,,1590,
BrewDog Reykjavik,64.14546872942530,-21.92469032075110,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790
Dillon Whiskey Bar,64.14526245649660,-21.92751056427410,500,,,,,1600,1600,,,,,,,1750,,,,,,,,,,,,,,,1700,
22 Bar,64.14562413058870,-21.92916788480830,400,1500,1500,,,,,,,,,,,1500,,,,,,,,,,,,,,,,
Veður,64.14550578955010,-21.92922027130270,400,1400,1400,,1400,,,,,,,1550,1550,,,,,,,,1550,,,,,1550,,,,
Kaldi Bar,64.14565299858080,-21.92948120015750,400,,1600,,,,,,,,,,,,,,1600,,,,,1600,,1800,,,,,,
Lebowski Bar,64.14567861990240,-21.92964440015760,500,1600,1600,,1600,,,,,,1750,,,,,,,,,1650,,1650,,,,,1750,1750,,
Hús Máls og Menningar,64.14585111993150,-21.93029180015760,500,1800,1800,,,,,,,,1800,,,,,,,,,,,,1800,,,,1800,,,
ELLÝ,64.14606872892760,-21.93122806457550,400,1500,1500,,,,,,,,,,,,,,,,,,,,,,,1500,,,,1500
Kaffibarinn,64.14587448959670,-21.93115304678440,500,1600,1600,,,,,,,,,1650,,,,,1700,,,,1650,1650,,1650,,,1750,1650,,
Einstök Bar,64.14606875927440,-21.93159830015750,400,,,,,,1500,,,,,,,1550,1600,,,,,,,,,,,,,,,
Bingo Drinkery,64.14571082891250,-21.93277906457540,400,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,1600
Session Craft Bar,64.14635780233180,-21.93330120243910,400,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,1500
Prikið,64.14654589858090,-21.93363851792970,500,1590,1590,,1590,,,,,,,,,1590,,,,,,,,,,,,,,,,
Röntgen Bar,64.14707809817860,-21.93281025966170,400,1500,1400,,1500,,,,,,,1700,,,,,,,,1750,,1400,,1800,,1750,,1600,,
Íslenski Barinn,64.14696932416530,-21.93315626461780,500,,,,,1600,1500,,,,,,,1700,,,1700,,1700,,,,,,,,,,,
Petersen svítan,64.14695294954580,-21.93357737142480,400,1350,1350,,1350,,,,,,,1500,,,,,,,,,1500,,,,,,,,,
Den Danske Kro,64.14636121657620,-21.93371530206500,500,1600,1600,,1600,,,,,1600,1600,,,,,,,,,1600,1600,1600,,,,1600,,1600,,
Loft,64.14676963733520,-21.93380946498480,400,,1490,,1490,,,,,,,,,,,,,,,1490,,1490,,1600,1600,,,,,1790
Lemmy,64.14740173810090,-21.93778799528110,500,1600,1600,,,,,,,,,,,1600,,,,,,,,,,,1650,,,1650,,
SKOR,64.14873298133640,-21.93694792085310,400,,1300,,1450,,,,,,,,,,,,,,,,,,,,1600,,,,,
Skuggi,64.14727505853050,-21.93865116837120,400,1490,1550,,1550,,,,,,1550,,,,,,,,,1550,1790,,,,,,,1690,,
GILLIGOGG,64.14757189716180,-21.93904528557730,400,,1550,,1550,,,,,,,,1550,,,,,1550,,,,,,,,1750,,1550,,
The English Pub,64.14767049432370,-21.93944453614900,500,1600,1600,1600,1600,,,,,1600,1600,,,,,,,,,1600,1600,1600,,,,,,1600,,
Jungle Cocktail Bar,64.14785599432380,-21.93957030056690,500,,1500,,,,,,,,,,,,,,,,,,,,,,,1600,,,,
American Bar,64.14777044262750,-21.94006204289510,500,1600,1600,,1600,,,,,1600,1600,,,,,,,,,1700,,,,,,,,1700,,
The Drunk Rabbit,64.14797665517810,-21.94029000056690,500,,,,,1600,1600,1600,1600,,,,,1600,1600,1600,,,,,,,,,,,,,1600,
Pablo Discobar,64.14818999432380,-21.94049700056690,400,,,,,1700,1700,,,,,,,1900,,,,,,,,,,,,,,,,
The Dubliner,64.14856099681640,-21.94028191652600,500,1600,1600,,1600,1500,,,,,1600,,,,,,,,,1600,,,,,,,,,,
Radar,64.14871708984440,-21.94020450824990,400,,,,,1600,1600,,,,,,,1700,1700,,,,,,,,,,,,,,,
Gaukurinn,64.14872176801080,-21.94016159290650,500,1500,1500,,1500,,,,,,1500,,,,,,,,,,,,,,,,,1700,,
Bird,64.14860481361350,-21.93996847386120,400,,,,,1500,1500,,,,,,,1500,1500,1500,,,1400,,,,,,,,,,1500,1500
Exit,64.14802667690000,-21.94064666498490,500,1600,1600,,,,,,,,,,,,,,,,1600,,,,,,,,,,,
Útópía,64.14786028108520,-21.93975656498480,400,1500,1500,1500,,,,,,,,,,,,,,,,1500,,,,,,,,,,