Bar,Stærð (mL),Byrjar,Endar,Meðalverð (kr),Meðal Lítraverð (kr),Gull,Gull Lite,Tuborg Grön,Tuborg Classic,Víking Gylltur,Víking Lite,Víking Lite Classic,Thule,Carlsberg,Boli,Peroni,Stella Artois,Einstök White Ale,Einstök Pale Ale,Einstök Arctic Lager,Kaldi,Ölvisholt Lite,Eldgos,Somersby,Blanc,Bríó,Garún,Helga,Snorri,Úlfrún,Úlfur,Guinness,Bóndi,Heimabrugg/Annar IPA
Kokteilbarinn,400,14:00,18:00,1200,3000,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,
The Irishman Pub,500,12:00,19:00,970,1940,950,950,,950,,,,,950,,,,,,,,,,950,950,950,,,1050,,1050,950,,
Reykjavík Sportbar,400,16:00,19:00,1190,2975,,,,,1190,1190,,,,,,,1190,,,,,,,,,,,,,,,1190,
BrewDog Reykjavik,400,15:00,18:00,1290,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290
Dillon Whiskey Bar,500,12:00,19:00,1117,2233,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1150,
22 Bar,400,16:00,19:00,1100,2750,1100,1100,,,,,,,,,,,1100,,,,,,,,,,,,,,,,
Veður,400,14:00,19:35,979,2446,950,950,,950,,,,,,,950,950,,,,,,,,1050,,,,,1050,,,,
Kaldi Bar,400,16:00,19:00,1000,2500,,1000,,,,,,,,,,,,,,1000,,,,,1000,,1000,,,,,,
Lebowski Bar,500,16:00,19:00,1063,2125,1000,1000,,1050,,,,,,1150,,,,,,,,,1050,,1050,,,,,1150,1050,,
Hús Máls og Menningar,500,12:00,18:00,1200,2400,1200,1200,,,,,,,,1200,,,,,,,,,,,,1200,,,,1200,,,
ELLÝ,400,0:00,0:00,1100,2750,1100,1100,,,,,,,,,,,,,,,,,,,,,,,1100,,,,1100
Kaffibarinn,500,15:00,19:00,1056,2111,1000,1000,,,,,,,,,1050,,,,,1100,,,,1050,1050,,1050,,,1150,1050,,
Einstök Bar,400,16:00,19:00,967,2417,,,,,,950,,,,,,,950,1000,,,,,,,,,,,,,,,
Session Craft Bar,400,14:00,19:00,1140,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,,1090
Prikið,400,16:00,20:00,1000,2500,1000,1000,,1000,,,,,,,,,1000,,,,,,,,,,,,,,,,
Röntgen Bar,400,16:00,20:00,1033,2583,950,950,,950,,,,,,,1100,,,,,,,,1100,,950,,1100,,1100,,1100,,
Petersen svítan,400,16:00,19:00,1033,2583,1000,1000,,1000,,,,,,,1000,,,,,,,,1200,1000,,,,,,,,,
Loft,400,15:00,19:00,1143,2857,,1100,,1100,,,,,,,,,,,,,,,1100,,1100,,1200,1200,,,,,1200
GILLIGOGG,400,16:00,19:00,950,2375,,950,,950,,,,,,,,950,,,,,950,,,,,,,,950,,950,,
The English Pub,500,16:00,19:00,850,1700,850,850,850,850,,,,,850,850,,,,,,,,,850,850,850,,,,,,850,,
Jungle Cocktail Bar,500,16:00,18:00,1000,2000,,1000,,,,,,,,,,,,,,,,,,,,,,,1000,,,,
American Bar,500,16:00,19:00,1129,2257,1100,1100,,1100,,,,,1100,1100,,,,,,,,,1200,,,,,,,,1200,,
The Drunk Rabbit,500,11:00,18:00,1200,2400,,,,,1200,1200,1200,1200,,,,,1200,1200,1200,,,,,,,,,,,,,1200,
Pablo Discobar,400,17:00,20:00,1000,2500,,,,,1000,1000,,,,,,,1000,,,,,,,,,,,,,,,,
The Dubliner,500,11:00,21:00,1000,2000,1000,1000,,1000,1000,,,,,1000,,,,,,,,,1000,,,,,,,,,,
Radar,400,18:00,22:00,1200,3000,,,,,1200,1200,,,,,,,1200,1200,,,,,,,,,,,,,,,
Gaukurinn,500,17:00,19:00,1000,2000,1000,1000,,1000,,,,,,1000,,,,,,,,,,,,,,,,,1000,,
Bird,400,15:00,19:00,1000,2500,,,,,1000,1000,,,,,,,1000,1000,1000,,,1000,,,,,,,,,,1000,